fare_id,origin_id,destination_id
FRF01,ZRTF3,ZRTF3
FRF01,ZRTF4,ZRTF4
FRF01,ZRTF5,ZRTF5
FRF01,ZRTF7,ZRTF7
FRF01,ZRTF8,ZRTF8
FRF01,ZRTF9,ZRTF9
FRF01,ZRTF10,ZRTF10
FRF01,ZRTF11,ZRTF11
FRF01,ZRTF12,ZRTF12
FRF01,ZRTF13,ZRTF13
FRF01,ZRTF14,ZRTF14
FRF01,ZRTF15,ZRTF15
FRF01,ZRTF16,ZRTF16
FRF01,ZRTF17,ZRTF17
FRF01,ZRTF18,ZRTF18
FRF01,ZRTF19,ZRTF19
FRF01,ZRTF20,ZRTF20
FRF01,ZRTB3,ZRTB3
FRF01,ZRTB4,ZRTB4
FRF01,ZRTB5,ZRTB5
FRF01,ZRTB7,ZRTB7
FRF01,ZRTB8,ZRTB8
FRF01,ZRTB9,ZRTB9
FRF01,ZRTB10,ZRTB10
FRF01,ZRTB11,ZRTB11
FRF01,ZRTB12,ZRTB12
FRF01,ZRTB13,ZRTB13
FRF01,ZRTB14,ZRTB14
FRF01,ZRTB15,ZRTB15
FRF01,ZRTB16,ZRTB16
FRF01,ZRTB17,ZRTB17
FRF01,ZRTB18,ZRTB18
FRF01,ZRTB19,ZRTB19
FRF01,ZRTB20,ZRTB20
MTF01,ZMTF1,ZMTF1
MBF01,ZMBF1,ZMBF1
FRF01,ZRT170,ZRTF17
FRF01,ZRT170,ZRTB17
FRF01,ZRTF17,ZRT170
FRF01,ZRTB17,ZRT170
FRF01,ZRT200,ZRTF20
FRF01,ZRT200,ZRTB20
FRF01,ZRTF20,ZRT200
FRF01,ZRTB20,ZRT200
FRF01,ZRT160,ZRTF16
FRF01,ZRT160,ZRTB16
FRF01,ZRTF16,ZRT160
FRF01,ZRTB16,ZRT160
FRF01,ZRT120,ZRTF12
FRF01,ZRT120,ZRTB12
FRF01,ZRTF12,ZRT120
FRF01,ZRTB12,ZRT120
FRF01,ZRT400,ZRTF4
FRF01,ZRT400,ZRTB4
FRF01,ZRTF4,ZRT400
FRF01,ZRTB4,ZRT400
FRF01,ZRT300,ZRTF3
FRF01,ZRT300,ZRTB3
FRF01,ZRTF3,ZRT300
FRF01,ZRTB3,ZRT300
FRF01,ZRT135,ZRTF13
FRF01,ZRT135,ZRTF15
FRF01,ZRTF13,ZRT135
FRF01,ZRTF15,ZRT135
FRF01,ZRT915,ZRTF9
FRF01,ZRT915,ZRTF15
FRF01,ZRTF9,ZRT915
FRF01,ZRTF15,ZRT915
FRF01,ZRT912,ZRTB9
FRF01,ZRT912,ZRTB12
FRF01,ZRTB9,ZRT912
FRF01,ZRTB12,ZRT912
