trip_id,start_time,end_time,headway_secs,exact_times
MBRT10WD,6:15:00,10:00:00,150,0
MBRT10WD,10:00:00,20:00:00,180,0
MBRT10WD,20:00:00,21:00:00,270,0
MBRT10WD,21:00:00,23:00:00,315,0
MBRT11WD,6:15:00,9:00:00,150,0
MBRT11WD,9:00:00,19:00:00,180,0
MBRT11WD,19:00:00,20:00:00,270,0
MBRT11WD,20:00:00,21:00:00,315,0
MBRT11WD,21:00:00,23:00:00,360,0
MBRT10WE,6:15:00,8:00:00,360,0
MBRT10WE,8:00:00,10:00:00,315,0
MBRT10WE,10:00:00,11:00:00,240,0
MBRT10WE,11:00:00,19:00:00,180,0
MBRT10WE,19:00:00,20:00:00,210,0
MBRT10WE,20:00:00,21:00:00,240,0
MBRT10WE,21:00:00,23:00:00,300,0
MBRT11WE,6:15:00,7:00:00,360,0
MBRT11WE,7:00:00,9:00:00,315,0
MBRT11WE,9:00:00,12:00:00,240,0
MBRT11WE,12:00:00,18:00:00,180,0
MBRT11WE,18:00:00,19:00:00,210,0
MBRT11WE,19:00:00,20:00:00,240,0
MBRT11WE,20:00:00,21:00:00,300,0
MBRT11WE,21:00:00,23:00:00,360,0
FRT030WD,6:00:00,21:15:00,540,0
FRT030WD,21:15:00,23:30:00,720,0
FRT031WD,4:45:00,20:00:00,540,0
FRT031WD,20:00:00,21:51:00,720,0
FRT030WE,7:15:00,23:00:00,900,0
FRT031WE,6:00:00,21:45:00,900,0
FRT040WD,6:00:00,23:20:00,1200,0
FRT041WD,5:25:00,22:45:00,1200,0
FRT040WE,7:35:00,22:05:00,1800,0
FRT041WE,7:00:00,21:30:00,1800,0
FRT050WD,6:00:00,21:45:00,900,0
FRT051WD,6:45:00,22:30:00,900,0
FRT050WE,7:00:00,21:20:00,1200,0
FRT051WE,7:40:00,22:00:00,1200,0
FRT070WD,6:05:00,22:45:00,1200,0
FRT071WD,6:40:00,23:40:00,1200,0
FRT070WE,6:25:00,21:25:00,1800,0
FRT071WE,7:00:00,22:00:00,1800,0
FRT080WD,6:00:00,19:00:00,360,0
FRT080WD,19:00:00,22:06:00,720,0
FRT081WD,6:00:00,19:00:00,360,0
FRT081WD,19:00:00,22:06:00,720,0
FRT080WE,7:00:00,22:00:00,1200,0
FRT081WE,7:00:00,22:00:00,1200,0
FRT090WD,5:35:00,20:00:00,420,0
FRT090WD,20:00:00,22:16:00,600,0
FRT091WD,6:05:00,10:30:00,420,0
FRT091WD,10:30:00,15:30:00,540,0
FRT091WD,15:30:00,20:30:00,420,0
