pathway_id,from_stop_id,to_stop_id,pathway_mode,is_bidirectional
SHWE1-SHWG01,SHWE1,SHWG01,2,1
SHWG01-SHWG02,SHWG01,SHWG02,1,1
SHWG02-SHWG03,SHWG02,SHWG03,1,1
SHWG04-SHWG05,SHWG04,SHWG05,1,1
SHWG05-SHWG06,SHWG05,SHWG06,1,1
SHWG06a-SHWG05,SHWG06a,SHWG05,1,1
SHWG06-SHWG07,SHWG06,SHWG07,6,0
SHWG07-SHWP1,SHWG07,SHWP1,1,0
SHWP1-SHWG07a,SHWP1,SHWG07a,1,0
SHEE1-SHEG01,SHEE1,SHEG01,4,0
SHEG01-SHEG02,SHEG01,SHEG02,1,1
SHEG02-SHEG03,SHEG02,SHEG03,1,1
SHWG02-SHEG02,SHWG02,SHEG02,1,1
SHEG04-SHEG05,SHEG04,SHEG05,1,1
SHEG05-SHEG06,SHEG05,SHEG06,1,1
SHEG06a-SHEG05,SHEG06a,SHEG05,1,1
SHEG06-SHEG07,SHEG06,SHEG07,6,0
SHEG07-SHEP1,SHEG07,SHEP1,1,0
SHEP1-SHEG07a,SHEP1,SHEG07a,1,0
SHWG01a-SHWE1a,SHWG01a,SHWE1a,4,0
SHWG04-SHWG03,SHWG04,SHWG03,2,1
SHWG05-SHWG02,SHWG05,SHWG02,4,0
SHWG07a-SHWG06a,SHWG07a,SHWG06a,7,0
SHEG01a-SHEE1a,SHEG01a,SHEE1a,4,0
SHEG04-SHEG03,SHEG04,SHEG03,2,1
SHEG05-SHEG02,SHEG05,SHEG02,4,0
SHEG07a-SHEG06a,SHEG07a,SHEG06a,7,0
SHEG01a- SHEG01, SHEG01a, SHEG01,1,1
SHWG01a- SHWG01, SHWG01a, SHWG01,1,1
NZWE1a-NZWG01a,NZWE1a,NZWG01a,4,0
NZWG01-NZWG02,NZWG01,NZWG02,1,1
NZWG02-NZWG03,NZWG02,NZWG03,1,1
NZWG04-NZWG05,NZWG04,NZWG05,1,1
NZWG05-NZWG06,NZWG05,NZWG06,1,1
NZWG07a-NZWG06a,NZWG07a,NZWG06a,7,0
NZWG07-NZWP1,NZWG07,NZWP1,1,0
NZEE1-NZEG01,NZEE1,NZEG01,2,1
NZEG01-NZEG02,NZEG01,NZEG02,1,1
NZEG02-NZEG03,NZEG02,NZEG03,1,1
NZEG04-NZEG05,NZEG04,NZEG05,1,1
NZEG05-NZEG06,NZEG05,NZEG06,1,1
NZEG06-NZEG07,NZEG06,NZEG07,6,0
NZEP1-NZEG07a,NZEP1,NZEG07a,1,0
