trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type,timepoint
MBRT11WD,6:15:00,6:15:00,GMWP1,1,0,0,0
MBRT11WD,6:16:30,6:16:30,DKWP1,2,0,0,0
MBRT11WD,6:18:25,6:18:25,YHWP1,3,0,0,0
MBRT11WD,6:20:55,6:20:55,NCWP1,4,0,0,0
MBRT11WD,6:22:55,6:22:55,ATWP1,5,0,0,0
MBRT11WD,6:24:55,6:24:55,KMWP1,6,0,0,0
MBRT11WD,6:27:08,6:27:08,CAWP1,7,0,0,0
MBRT11WD,6:29:00,6:29:00,GHWP1,8,0,0,0
MBRT11WD,6:30:52,6:30:52,QCWP1,9,0,0,0
MBRT11WD,6:34:04,6:34:04,ITWP1,10,0,0,0
MBRT11WD,6:36:35,6:36:35,NBWP1,11,0,0,0
MBRT11WD,6:38:59,6:38:59,MTWP1,12,0,0,0
MBRT11WD,6:40:54,6:40:54,KCWP1,13,0,0,0
MBRT11WD,6:43:54,6:43:54,QSWP1,14,0,0,0
MBRT11WD,6:46:00,6:46:00,CNWP1,15,0,0,0
MBRT11WD,6:48:51,6:48:51,ICWP1,16,0,0,0
MBRT11WD,6:51:00,6:51:00,SMWP1,17,0,0,0
MBRT11WD,6:53:07,6:53:07,QTWP1,18,0,0,0
MBRT11WD,6:54:57,6:54:57,JZWP1,19,0,0,0
MBRT11WD,6:57:21,6:57:21,MOWP1,20,0,0,0
MBRT11WD,6:59:34,6:59:34,CSWP1,21,0,0,0
MBRT11WD,7:01:23,7:01:23,KHWP1,22,0,0,0
MBRT11WD,7:03:19,7:03:19,BTWP1,23,0,0,0
MBRT11WD,7:05:50,7:05:50,AZWP1,24,0,0,0
MBRT11WD,7:07:38,7:07:38,TMWP1,25,0,0,0
MBRT11WD,7:10:00,7:10:00,NZWP1,26,0,0,0
MBRT11WD,7:15:00,7:15:00,SHWP1,27,0,0,0
MBRT10WD,6:15:00,6:15:00,SHEP1,1,0,0,0
MBRT10WD,6:20:00,6:20:00,NZEP1,2,0,0,0
MBRT10WD,6:22:22,6:22:22,TMEP1,3,0,0,0
MBRT10WD,6:24:10,6:24:10,AZEP1,4,0,0,0
MBRT10WD,6:26:41,6:26:41,BTEP1,5,0,0,0
MBRT10WD,6:28:37,6:28:37,KHEP1,6,0,0,0
MBRT10WD,6:30:26,6:30:26,CSEP1,7,0,0,0
MBRT10WD,6:32:39,6:32:39,MOEP1,8,0,0,0
MBRT10WD,6:35:03,6:35:03,JZEP1,9,0,0,0
MBRT10WD,6:36:53,6:36:53,QTEP1,10,0,0,0
