stop_id,level_id,stop_name,stop_lat,stop_lon,location_type,parent_station,zone_id
SHDMB1,,Shahdara Station,31.615847,74.290768,1,,ZMBF1
SHWG01,L1,,31.616047,74.290454,3,SHDMB1,
SHWG02,L1,,31.616078,74.290672,3,SHDMB1,
SHWG03,L1,,31.616196,74.290651,3,SHDMB1,
SHWG04,L0,,31.616045,74.290721,3,SHDMB1,
SHWG05,L0,,31.615742,74.29072,3,SHDMB1,
SHWG06,L0,,31.61571118,74.29072806,3,SHDMB1,
SHWG07,L0,,31.61563827,74.29074252,3,SHDMB1,
SHWP1,L0,Shahdara Station ,31.615447,74.290768,0,SHDMB1,ZMBF1
SHEG02,L1,,31.616094,74.290882,3,SHDMB1,
SHEG03,L1,,31.616228,74.290868,3,SHDMB1,
SHEG04,L0,,31.616062,74.29085,3,SHDMB1,
SHEG05,L0,,31.615767,74.290867,3,SHDMB1,
SHEG06,L0,,31.615733,74.29090036,3,SHDMB1,
SHEG07,L0,,31.61566383,74.29090967,3,SHDMB1,
SHEP1,L0,Shahdara Station ,31.615466,74.290928,0,SHDMB1,ZMBF1
SHEG01,L1,,31.616143,74.291319,3,SHDMB1,
SHEE1,L0,Shahdara Station East,31.616355,74.291237,2,SHDMB1,
SHWE1,L0,Shahdara Station West,31.61623814,74.290426,2,SHDMB1,
SHWE1a,L0,Shahdara Station West,31.616236,74.290386,2,SHDMB1,
SHWG01a,L1,,31.61604398,74.29042981,2,SHDMB1,
SHEE1a,L0, Shahdara Station East,31.61634665,74.29127499,2,SHDMB1,
SHEG01a,L1, ,31.61613345,74.29129022,3,SHDMB1,
SHWG06a,L0,,31.61570919,74.29070373,3,SHDMB1,
SHWG07a,L0,,31.6156349,74.29071207,3,SHDMB1,
SHEG06a,L0,,31.61573161,74.29087389,3,SHDMB1,
SHEG07a,L0,,31.61566144,74.29088079,3,SHDMB1,
NZSMB1,,Niazi Chowk Station,31.600946,74.299231,1,,ZMBF1
NZEE1,L0,Niazi Chowk Station East,31.601282,74.299635,2,NZSMB1,
NZEG01,L1,,31.601485,74.299749,3,NZSMB1,
NZEG02,L1,,31.601544,74.299553,3,NZSMB1,
NZEG03,L1,,31.601668,74.299607,3,NZSMB1,
NZEG04,L0,,31.601498,74.299554,3,NZSMB1,
NZEG05,L0,,31.601353,74.29944,3,NZSMB1,
NZEG06,L0,,31.60128396,74.29945766,3,NZSMB1,
NZEG07,L0,,31.60121434,74.29943279,3,NZSMB1,
NZEP1,L0,Niazi Chowk Station,31.601026,74.299324,0,NZSMB1,ZMBF1
NZWG02,L1,,31.60157,74.299466,3,NZSMB1,
NZWG03,L1,,31.601703,74.299506,3,NZSMB1,
NZWG04,L0,,31.601546,74.299423,3,NZSMB1,
NZWG05,L0,,31.601384,74.299351,3,NZSMB1,
NZWG06,L0,,31.60130978,74.29935871,3,NZSMB1,
NZWG07,L0,,31.60124058,74.29933665,3,NZSMB1,
NZWP1,L0,Niazi Chowk Station ,31.600997,74.299213,0,NZSMB1,ZMBF1
NZWG01,L1, ,31.60163267,74.29926347,3,NZSMB1,
NZWG01a,L1,,31.6016409,74.29923348,3,NZSMB1,
NZWE1a,L0,Niazi Chowk Station West,31.60143972,74.29913779,2,NZSMB1,
NZWE1,L0,Niazi Chowk Station West,31.60142852,74.29916658,2,NZSMB1,
NZEE1a,L0,Niazi Chowk Station East,31.60126672,74.29967578,2,NZSMB1,
NZEG01a,L1, ,31.60146659,74.29978048,3,NZSMB1,
NZWG06a,L0, ,31.60131721,74.29932622,3,NZSMB1,
NZEG06a,L0, ,31.60129203,74.29943367,3,NZSMB1,
NZEG07a,L0, ,31.60122541,74.29940749,3,NZSMB1,
NZWG07a,L0, ,31.60125439,74.29929576,3,NZSMB1,
TIMMB1,,Timber Market Station,31.594343,74.302296,1,,ZMBF1
TMEE1,L0,Timber Market Station East,31.59503831,74.30208794,2,TIMMB1,
TMEG01,L1,,31.59521596,74.30195877,3,TIMMB1,
TMEG02,L1,,31.595102,74.30176,3,TIMMB1,
TMEG03,L1,,31.595205,74.301665,3,TIMMB1,
TMEG04,L0,,31.595057,74.301769,3,TIMMB1,
TMEG05,L0,,31.594943,74.30185,3,TIMMB1,
TMEG06,L0,,31.59483716,74.30196955,3,TIMMB1,
TMEG07,L0,,31.594784,74.30201,3,TIMMB1,
TMEP1,L0,Timber Market Station ,31.594622,74.302149,0,TIMMB1,ZMBF1
TMWG02,L1,,31.59505,74.301682,3,TIMMB1,
TMWG03,L1,,31.595164,74.301584,3,TIMMB1,
TMWG04,L0,,31.595015,74.301676,3,TIMMB1,
TMWG05,L0,,31.594893,74.30176,3,TIMMB1,
TMWG06,L0,,31.59477858,74.30186632,3,TIMMB1,
TMWG07,L0,,31.594725,74.301909,3,TIMMB1,
TMWP1,L0,Timber Market Station ,31.594513,74.302095,0,TIMMB1,ZMBF1
TMWG01,L1,,31.594943,74.301503,3,TIMMB1,
TMWE1,L0,Timber Market Station West,31.59476961,74.30161536,2,TIMMB1,
TMWG01a,L1, ,31.59492301,74.30147359,3,TIMMB1,
TMWE1a,L0,Timber Market Station West,31.59474788,74.3015878,2,TIMMB1,
TMEG01a,L1, ,31.59523329,74.30199136,3,TIMMB1,
TMEE1a,L0, Timber Market Station East,31.59506007,74.30211509,2,TIMMB1,
TMWG07a,L0, ,31.594706,74.30188285,3,TIMMB1,
TMWG06a,L0, ,31.59476311,74.30184288,3,TIMMB1,
TMEG07a,L0, ,31.59477164,74.30199037,3,TIMMB1,
TMEG06a,L0, ,31.59481352,74.30194849,3,TIMMB1,
AZWE1,L0,Azadi Chowk Station West,31.591017,74.305536,2,AZCMB1,
AZWG01,LB1,,31.59089,74.30568,3,AZCMB1,
AZWG02,LB1,,31.591073,74.305844,3,AZCMB1,
AZWG03,L1,,31.59089938,74.30604745,3,AZCMB1,
AZWG04,L0,,31.590854,74.306138,3,AZCMB1,
AZWP1,L0,Azadi Chowk Station,31.590649,74.306385,0,AZCMB1,ZMBF1
AZEG05,LB1,,31.591145,74.305943,3,AZCMB1,
AZEG06,L0,,31.59096014,74.30617645,3,AZCMB1,
AZEG07,L0,,31.590909,74.306271,3,AZCMB1,
AZEP1,L0,Azadi Chowk Station ,31.590805,74.306384,0,AZCMB1,ZMBF1
AZEE1,L0,Azadi Chowk Station East,31.59105,74.306781,2,AZCMB1,
AZEG01,LB1,,31.591243,74.306769,3,AZCMB1,
AZEG02,LB1,,31.591242,74.306612,3,AZCMB1,
AZEE2,L0,Azadi Chowk Station East,31.591776,74.305997,2,AZCMB1,
AZEG04,LB1,,31.59177,74.305756,3,AZCMB1,
AZEG03,LB1,,31.591354,74.306188,3,AZCMB1,
AZCMB1,,Azadi Chowk Station,31.591011,74.306012,1,,ZMBF1
AZWG04a,L0, ,31.59083003,74.30611368,3,AZCMB1,
AZEG07a,L0, ,31.59088237,74.30624217,3,AZCMB1,
BTCMB1,,Bhatti Chowk Station ,31.580087,74.306245,1,,ZMBF1
BTWE1,L0,Bhatti Chowk Station West,31.58034599,74.30599678,2,BTCMB1,
BTWG01,L1,,31.58010777,74.30597932,3,BTCMB1,
BTWG02,L1,,31.58008416,74.30613071,3,BTCMB1,
