table_name,field_name,record_id,language,translation
stops,stop_name,DGSM1,ur,ڈیرہ گجراں اسٹیشن
stops,stop_name,IPSM1,ur,اسلام پارک اسٹیشن
stops,stop_name,SLPM1,ur,سلام پورہ اسٹیشن
stops,stop_name,MBSM1,ur,محمود بوٹی اسٹیشن
stops,stop_name,PMSM1,ur,پاکستان منٹ اسٹیشن
stops,stop_name,SGSM1,ur,شالامار گارڈن اسٹیشن
stops,stop_name,BGBM1,ur,باغبانپورہ اسٹیشن
stops,stop_name,UETM1,ur,یو ای ٹی اسٹیشن
stops,stop_name,SULM1,ur,سلطان پورہ اسٹیشن
stops,stop_name,RLSM1,ur,ریلوےاسٹیشن
stops,stop_name,LKSM1,ur,لکشمی اسٹیشن
stops,stop_name,GPOM1,ur,جی پی او اسٹیشن
stops,stop_name,ANRM1,ur,انارکلی اسٹیشن
stops,stop_name,CHBM1,ur,چوبرجی اسٹیشن
stops,stop_name,GERM1,ur,گلشن راوی اسٹیشن
stops,stop_name,SHDM1,ur,سمن آباد اسٹیشن
stops,stop_name,BRSM1,ur,بند روڈ اسٹیشن
stops,stop_name,SRSM1,ur,صلاح الدین روڈ اسٹیشن
stops,stop_name,SNSM1,ur,شاہ نور اسٹیشن
stops,stop_name,SBZM1,ur,سبزہ زار اسٹیشن
stops,stop_name,ATSM1,ur,اعوان ٹاؤن اسٹیشن
stops,stop_name,WRSM1,ur,وحدت روڈ اسٹیشن
stops,stop_name,HNJM1,ur,ہنجروال اسٹیشن
stops,stop_name,CVSM1,ur,کنال ویو اسٹیشن
stops,stop_name,TNSM1,ur,ٹھوکر نیاز بیگ اسٹیشن
stops,stop_name,ALSM1,ur,علی ٹاؤن اسٹیشن
stops,stop_name,SHDMB1,ur,شاہدرا
stops,stop_name,NZSMB1,ur,نیازی چوک اسٹیشن
stops,stop_name,TIMMB1,ur,ٹمبر مارکیٹ اسٹیشن
stops,stop_name,AZCMB1,ur,آذادی چوک اسٹیشن
stops,stop_name,BTCMB1,ur,بھاٹی چوک اسٹیشن
stops,stop_name,KHTMB1,ur,کچہری اسٹیشن
stops,stop_name,CSEMB1,ur,سول سکٹریٹ
stops,stop_name,MAOMB1,ur,ایم ۔ اے ۔او کالج
stops,stop_name,JZGMB1,ur,جنازگاہ اسٹیشن
stops,stop_name,QTBMB1,ur,قرطبہ چوک
stops,stop_name,SMAMB1,ur,شمع اسٹیشن
stops,stop_name,ICHMB1,ur,اچھرا اسٹیشن
stops,stop_name,CNLMB1,ur,کنال اسٹیشن
stops,stop_name,QDSMB1,ur,قذافی اسٹیڈیم اسٹیشن
stops,stop_name,KLMMB1,ur,کلمہ چوک اسٹیشن
stops,stop_name,MDTMB1,ur,ماڈل ٹاؤن اسٹیشن
stops,stop_name,NSBMB1,ur,نصیرآباد اسٹیشن
stops,stop_name,ITFMB1,ur,اتفاق اسپتال
stops,stop_name,QNCMB1,ur,قینچی اسٹیشن
stops,stop_name,GHCMB1,ur,غازی چوک اسٹیشن
stops,stop_name,CASMB1,ur,چونگی امرسدھو اسٹیشن
stops,stop_name,KMHMB1,ur,کما ہا ں اسٹیشن
