route_id,service_id,trip_id,direction_id,trip_headsign,shape_id
MBRT,WD,MBRT10WD,0,Gajjumata,MBRTF
MBRT,WD,MBRT11WD,1,Shahdara,MBRTB
MBRT,WE,MBRT10WE,0,Gajjumata,MBRTF
MBRT,WE,MBRT11WE,1,Shahdara,MBRTB
MTRT,WD,MTRT0WD,0,Dera Gujran,MTRT1F
MTRT,WD,MTRT1WD,1,Ali Town,MTRT1B
MTRT,WE,MTRT0WE,0,Dera Gujran,MTRT1F
MTRT,WE,MTRT1WE,1,Ali Town,MTRT1B
MTRT,ED,MTRT0ED,0,Dera Gujran,MTRT1F
MTRT,ED,MTRT1ED,1,Ali Town,MTRT1B
FRT03,WD,FRT030WD,0,Railway Station,FRT03F
FRT03,WD,FRT031WD,1,Rana Town,FRT03B
FRT03,WE,FRT030WE,0,Railway Station,FRT03F
FRT03,WE,FRT031WE,1,Rana Town,FRT03B
FRT04,WD,FRT040WD,0,Chungi Amer Sidhu,FRT04F
FRT04,WD,FRT041WD,1,R.A Bazar,FRT04B
FRT04,WE,FRT040WE,0,Chungi Amer Sidhu,FRT04F
FRT04,WE,FRT041WE,1,R.A Bazar,FRT04B
FRT05,WD,FRT050WD,0,Shadbagh Underpass,FRT05B
FRT05,WD,FRT051WD,1,Bhatti Chowk,FRT05F
FRT05,WE,FRT050WE,0,Shadbagh Underpass,FRT05B
FRT05,WE,FRT051WE,1,Bhatti Chowk,FRT05F
FRT07,WD,FRT070WD,0,Chungi Amer Sidhu,FRT07F
FRT07,WD,FRT071WD,1,Depot Chowk,FRT07B
FRT07,WE,FRT070WE,0,Chungi Amer Sidhu,FRT07F
FRT07,WE,FRT071WE,1,Depot Chowk,FRT07B
FRT08,WD,FRT080WD,0,Daewoo Terminal,FRT08F
FRT08,WD,FRT081WD,1,Canal,FRT08B
FRT08,WE,FRT080WE,0,Daewoo Terminal,FRT08F
FRT08,WE,FRT081WE,1,Canal,FRT08B
FRT09,WD,FRT090WD,0,Chauburji,FRT09F
FRT09,WD,FRT091WD,1,Railway Station,FRT09B
FRT09,WE,FRT090WE,0,Chauburji,FRT09F
FRT09,WE,FRT091WE,1,Railway Station,FRT09B
FRT10,WD,FRT100WD,0,Qartaba Chowk,FRT10F
FRT10,WD,FRT101WD,1,Wahdat Road Station,FRT10B
FRT10,WE,FRT100WE,0,Qartaba Chowk,FRT10F
FRT10,WE,FRT101WE,1,Wahdat Road Station,FRT10B
FRT11,WD,FRT110WD,0,Babu Sabu,FRT11F
